group_id,annotator,edf,notes,updated_at
"1","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:32:42 GMT+0800 (Singapore Standard Time)"
"2","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:32:44 GMT+0800 (Singapore Standard Time)"
"3","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:32:46 GMT+0800 (Singapore Standard Time)"
"4","annotator_A","edf","操作に観測可能な効果が明示（遷移/状態変更/表示/活性化/ソート等）。有限のDOM実行で真偽判定可能。EDF。","Mon Jul 13 2026 13:32:48 GMT+0800 (Singapore Standard Time)"
"5","annotator_A","edf","操作に観測可能な効果が明示（遷移/状態変更/表示/活性化/ソート等）。有限のDOM実行で真偽判定可能。EDF。","Mon Jul 13 2026 13:32:50 GMT+0800 (Singapore Standard Time)"
"6","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:29:19 GMT+0800 (Singapore Standard Time)"
"7","annotator_A","edf","操作に観測可能な効果が明示（遷移/状態変更/表示/活性化/ソート等）。有限のDOM実行で真偽判定可能。EDF。","Mon Jul 13 2026 13:29:20 GMT+0800 (Singapore Standard Time)"
"8","annotator_A","edf","操作に観測可能な効果が明示（遷移/状態変更/表示/活性化/ソート等）。有限のDOM実行で真偽判定可能。EDF。","Mon Jul 13 2026 13:29:21 GMT+0800 (Singapore Standard Time)"
"9","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:29:22 GMT+0800 (Singapore Standard Time)"
"10","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:29:23 GMT+0800 (Singapore Standard Time)"
"11","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:29:24 GMT+0800 (Singapore Standard Time)"
"12","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:29:25 GMT+0800 (Singapore Standard Time)"
"13","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:29:26 GMT+0800 (Singapore Standard Time)"
"14","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:29:27 GMT+0800 (Singapore Standard Time)"
"15","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:29:28 GMT+0800 (Singapore Standard Time)"
"16","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:29:29 GMT+0800 (Singapore Standard Time)"
"17","annotator_A","nonedf","トリガがサーバー/ネットワーク/API失敗で、DOM操作では決定的に誘発できない。非EDF。","Mon Jul 13 2026 13:29:30 GMT+0800 (Singapore Standard Time)"
"18","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:29:31 GMT+0800 (Singapore Standard Time)"
"19","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:29:32 GMT+0800 (Singapore Standard Time)"
"20","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:29:33 GMT+0800 (Singapore Standard Time)"
"21","annotator_A","nonedf","挙動の記述が「なし」。検証すべき効果が未指定でDOM判定不能。非EDF。","Mon Jul 13 2026 13:29:34 GMT+0800 (Singapore Standard Time)"
"22","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:29:35 GMT+0800 (Singapore Standard Time)"
"23","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:29:36 GMT+0800 (Singapore Standard Time)"
"24","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:29:37 GMT+0800 (Singapore Standard Time)"
"25","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:29:38 GMT+0800 (Singapore Standard Time)"
"26","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:29:39 GMT+0800 (Singapore Standard Time)"
